股票代码,股票名称,行业,特征,特征类别,XGBoost_SHAP,CNN_LSTM_SHAP,平均SHAP
HK.00941,中国移动,通信,pv_corr,成交量,0.07557990074524333,0.01936478531972909,0.04747234303248621
HK.00941,中国移动,通信,rsi,技术指标,0.031173744710947845,0.018202824422688096,0.024688284566817972
HK.00941,中国移动,通信,bb_position,技术指标,0.08631291519844844,0.06294720098333645,0.07463005809089245
HK.00941,中国移动,通信,macd_dif,技术指标,0.10382522867698878,0.156867308442795,0.1303462685598919
HK.00941,中国移动,通信,macd_dea,技术指标,0.0,0.0,0.0
HK.00941,中国移动,通信,macd,技术指标,0.07025806558188454,0.030745499168800858,0.050501782375342696
HK.00941,中国移动,通信,market_regime,市场状态,8.440517721990154e-05,0.011282893664932424,0.0056836494210761625
HK.03690,美团,科技,kline_position,K线形态,0.03667643929818778,0.0573774629180136,0.04702695110810069
HK.03690,美团,科技,range_pct,K线形态,0.06337576064494725,0.05650251762494081,0.05993913913494403
HK.03690,美团,科技,return_1,价格动量,0.04188814709098555,0.027072046088684947,0.03448009658983525
HK.03690,美团,科技,return_5,价格动量,0.041621672578312896,0.019724817435023224,0.03067324500666806
HK.03690,美团,科技,return_20,价格动量,0.0271683192008323,0.023611062228939866,0.02538969071488608
HK.03690,美团,科技,return_60,价格动量,0.021707203252561622,0.019698655951279377,0.0207029296019205
HK.03690,美团,科技,return_zscore,价格动量,0.07384951423763561,0.07894083296197107,0.07639517359980334
HK.03690,美团,科技,atr_pct,波动率,0.05105272661612872,0.02504710081672441,0.03804991371642656
HK.03690,美团,科技,volatility_20,波动率,0.04549757705195435,0.053754269965902414,0.04962592350892838
HK.03690,美团,科技,ti,成交不平衡,0.04870612044332966,0.043478202124987875,0.04609216128415877
HK.03690,美团,科技,ti_5,成交不平衡,0.05941781360185128,0.05604273286317467,0.05773027323251297
HK.03690,美团,科技,ti_60,成交不平衡,0.009906351469513536,0.017101585488512004,0.01350396847901277
HK.03690,美团,科技,ti_zscore,成交不平衡,0.008398059418932277,0.015101613196286733,0.011749836307609505
HK.03690,美团,科技,relative_volume,成交量,0.020841148526385654,0.014519632364045243,0.01768039044521545
HK.03690,美团,科技,volume_change,成交量,0.08869180081536053,0.04970765304047567,0.06919972692791809
HK.03690,美团,科技,pv_corr,成交量,0.08745236786588786,0.028818918208425335,0.0581356430371566
HK.03690,美团,科技,rsi,技术指标,0.048529233731685766,0.03847242231904695,0.04350082802536635
HK.03690,美团,科技,bb_position,技术指标,0.07211986186627553,0.057196145513802144,0.06465800369003884
HK.03690,美团,科技,macd_dif,技术指标,0.09620534547815011,0.25439323490159954,0.17529929018987483
HK.03690,美团,科技,macd_dea,技术指标,0.0,0.0,0.0
HK.03690,美团,科技,macd,技术指标,0.05651044975842264,0.033021611747592036,0.044766030753007335
HK.03690,美团,科技,market_regime,市场状态,0.0003840870526591052,0.030417482240572252,0.015400784646615678
HK.01211,比亚迪,汽车,kline_position,K线形态,0.036709425497593186,0.04004251444590646,0.03837596997174982
HK.01211,比亚迪,汽车,range_pct,K线形态,0.0590770942242407,0.03254277944880382,0.045809936836522264
HK.01211,比亚迪,汽车,return_1,价格动量,0.04220910837163828,0.015867411664752556,0.029038260018195417
HK.01211,比亚迪,汽车,return_5,价格动量,0.04180894753205596,0.04289266059662895,0.042350804064342454
HK.01211,比亚迪,汽车,return_20,价格动量,0.031277835246742366,0.10635772395890915,0.06881777960282576
HK.01211,比亚迪,汽车,return_60,价格动量,0.03179075752175021,0.038458837779910195,0.0351247976508302
HK.01211,比亚迪,汽车,return_zscore,价格动量,0.08087240797125608,0.05135411682375961,0.06611326239750784
HK.01211,比亚迪,汽车,atr_pct,波动率,0.032122015507155634,0.022027678558703412,0.027074847032929523
HK.01211,比亚迪,汽车,volatility_20,波动率,0.06163616789759776,0.023503704471142747,0.04256993618437025
HK.01211,比亚迪,汽车,ti,成交不平衡,0.0554648764682043,0.04198026094724445,0.04872256870772437
HK.01211,比亚迪,汽车,ti_5,成交不平衡,0.06413643651081136,0.040399868402910016,0.052268152456860686
HK.01211,比亚迪,汽车,ti_60,成交不平衡,0.02852103788957971,0.10656169812768736,0.06754136800863353
HK.01211,比亚迪,汽车,ti_zscore,成交不平衡,0.021165829694124685,0.06673157358981477,0.04394870164196973
HK.01211,比亚迪,汽车,relative_volume,成交量,0.05176899489148665,0.1266290299630518,0.08919901242726923
HK.01211,比亚迪,汽车,volume_change,成交量,0.053266035745805865,0.018620636313224765,0.03594333602951531
HK.01211,比亚迪,汽车,pv_corr,成交量,0.07228192788362174,0.015073554103555238,0.04367774099358849
HK.01211,比亚迪,汽车,rsi,技术指标,0.02898745703569179,0.02225318009924333,0.025620318567467562
HK.01211,比亚迪,汽车,bb_position,技术指标,0.07666826377610522,0.029910857222067874,0.05328956049908655
HK.01211,比亚迪,汽车,macd_dif,技术指标,0.0817947822672179,0.10193542775337618,0.09186510501029704
HK.01211,比亚迪,汽车,macd_dea,技术指标,0.0,0.0,0.0
HK.01211,比亚迪,汽车,macd,技术指标,0.048296534279672856,0.019086737206120523,0.033691635742896686
HK.01211,比亚迪,汽车,market_regime,市场状态,0.00014406378764792252,0.037769748523186805,0.018956906155417366
HK.00388,香港交易所,金融,kline_position,K线形态,0.02412970442393043,0.030783884945674012,0.02745679468480222
HK.00388,香港交易所,金融,range_pct,K线形态,0.06597085817696562,0.029719037836754607,0.04784494800686011
HK.00388,香港交易所,金融,return_1,价格动量,0.03587238602432095,0.024509386639328206,0.030190886331824575
HK.00388,香港交易所,金融,return_5,价格动量,0.04579640297524363,0.04272769233330894,0.044262047654276285
HK.00388,香港交易所,金融,return_20,价格动量,0.03460423421560689,0.10532311591118641,0.06996367506339665
HK.00388,香港交易所,金融,return_60,价格动量,0.02694783535653059,0.02445336149322756,0.025700598424879074
HK.00388,香港交易所,金融,return_zscore,价格动量,0.0791920328054564,0.06545253477696136,0.07232228379120889
HK.00388,香港交易所,金融,atr_pct,波动率,0.04950618537818527,0.031649308599184266,0.04057774698868477
HK.00388,香港交易所,金融,volatility_20,波动率,0.04802505030958787,0.035020648778397875,0.04152284954399287
HK.00388,香港交易所,金融,ti,成交不平衡,0.055565521486245106,0.059789610318977164,0.05767756590261114
HK.00388,香港交易所,金融,ti_5,成交不平衡,0.06146895819551577,0.05938449717464733,0.06042672768508155
HK.00388,香港交易所,金融,ti_60,成交不平衡,0.021907025992374204,0.08722152508292054,0.05456427553764737
HK.00388,香港交易所,金融,ti_zscore,成交不平衡,0.015128784368276147,0.05694291458947894,0.036035849478877544
HK.00388,香港交易所,金融,relative_volume,成交量,0.04544257378949428,0.1138679408089142,0.07965525729920424
HK.00388,香港交易所,金融,volume_change,成交量,0.057733421716850725,0.020516716359929923,0.039125069038390324
HK.00388,香港交易所,金融,pv_corr,成交量,0.07318367718608745,0.021139705718517754,0.047161691452302604
HK.00388,香港交易所,金融,rsi,技术指标,0.03332299043995081,0.02617961553545744,0.029751302987704124
HK.00388,香港交易所,金融,bb_position,技术指标,0.08175597813807721,0.028728299648529836,0.055242138893303525
HK.00388,香港交易所,金融,macd_dif,技术指标,0.08406378470261422,0.07684671102251724,0.08045524786256572
HK.00388,香港交易所,金融,macd_dea,技术指标,0.0,0.0,0.0
HK.00388,香港交易所,金融,macd,技术指标,0.06017743492786503,0.032264808056577506,0.04622112149222127
HK.00388,香港交易所,金融,market_regime,市场状态,0.00020515939082125264,0.02747868436950877,0.013841921880165012
